608999208444518401,2015-06-11 14:08:20,@shs96c non-violent communication?
608790204758028288,2015-06-11 00:17:50,"@RonJeffries @chethendrickson @kyofu i believe i invented it. i remember going around the room saying ""repeat: i have too much to do"""
608751985458675712,2015-06-10 21:45:58,"@PossiblyAlan @iwasleeg @modocache ""used to""? how sad... :("
607996411624366081,2015-06-08 19:43:35,"experiments are not intended for confirmation, but illumination. as @DReinertsen taught me, the ideal experiment has a 50/50 chance."
607989295098380288,2015-06-08 19:15:18,today's puzzle: people who scream and shout about short feedback cycles but wait absurdly long for the first one to start
607981748547231744,2015-06-08 18:45:19,"@anibal it's too easy to focus on ""getting things done"" and leave the junior behind. better to reach out."
606239663129563136,2015-06-03 23:22:53,"If you intend to make your living coding in the future, I suggest you read: https://t.co/yqKNChO9KR"
606209537201180672,2015-06-03 21:23:11,mistakes are part of the price of good engineering. outrageous engineer salaries are another :)
606196178468794370,2015-06-03 20:30:06,"RT @avibryant: I love how unintuitive this queuing theory illustration is: http://t.co/TgQiZLVWoV (See also: DeMarco's ""Slack"")."
606093243701280768,2015-06-03 13:41:04,@mathewbutler I dont know much about that world. Doesn't exempt those.projects from the laws of physics.
605897401744752640,2015-06-03 00:42:52,"RT @BenedictEvans: a16z Podcast: For Google, Android is a Tactic and Cloud is a Strategy ♻️ https://t.co/8WSDgsrzKh"
605380048749658112,2015-06-01 14:27:05,RT @LeanITSummit: Guess who's speaking at the #LeanIT2015? Meet our guest of honor: @KentBeck  http://t.co/Po0Tdv71YH Join his masterclass …
605094649481428992,2015-05-31 19:33:01,RT @pragdave: I love the way the eliminating duplication provides incremental design insights.
605065900731932672,2015-05-31 17:38:46,"Capitalism really is the inverse of communism: from each according to their need, to each according to their ability"
604839520509362176,2015-05-31 02:39:13,@avdi cheerwine ftw!
604297115032924162,2015-05-29 14:43:54,@PossiblyAlan @tarasis just because you lose an empire is no reason to go all squidgy
604080771163279360,2015-05-29 00:24:13,@lxt that was @evanpriestley. he earned it.
604069741251186688,2015-05-28 23:40:24,"@ChuckBaggett I hadn't either. I was skeptical, but it works reasonably well."
604066385799458816,2015-05-28 23:27:04,sorry about that. forgot to set the privacy of my note on (ironically) private levels: https://t.co/stC2a8nuyJ
604063573979971584,2015-05-28 23:15:53,private levels are how facebook avoids the tyranny of titles i've seen in many engineering organizations https://t.co/stC2a8nuyJ
603981807386697728,2015-05-28 17:50:58,"i really need to understand the economic term ""reversibility"" better http://t.co/qMFugaar5z"
603949238888697856,2015-05-28 15:41:34,Emotional and coding tour de force -- The Fallen of World War II http://t.co/6fHog0ciyf via @neilhalloran
603700423548080128,2015-05-27 23:12:51,"RT @dasamuelsson: ohh why haven't i seen this before, software g-forces by .@KentBeck  https://t.co/64gw8ygszN it all makes sense now."
603576715617509376,2015-05-27 15:01:17,"@channingwalton @infinitary it needed to be a distinctive, defensible word, and it is accurate in a ""knob to 11"" sense"
603273717288841217,2015-05-26 18:57:17,"don't mistake motion for progress, nor stillness for thought"
602926952933101568,2015-05-25 19:59:22,I gotta fess up. $17 is a stone cold bargain for a book this good. Highly recommended. http://t.co/el7QDyb4Xj cc @nealstephenson
602923742277160960,2015-05-25 19:46:36,"""powerful, cooperative relationships stem from the lack of power, not from the possession of it"" studying with Nash https://t.co/fSfklHRS8T"
602892538337337345,2015-05-25 17:42:36,"When you're the senior in junior/senior pair programming, the measure of your success is how much the junior learns"
602659737142890496,2015-05-25 02:17:32,@NeilMussett @dharmesh @romanmars I'll keep that in mind if I ever get invited
