610702582093197312,2015-06-16 06:56:56,Yesterday morning @jessdandy led #YxYY yoga practice. She had @staubin lead a vinyasa flow and asked me to ... http://t.co/yOCI7vbDIH
610457727228219392,2015-06-15 14:43:58,"@benwerd really appreciate and inspired by all your work.
Yes and give yourself gratefulness for your achievements. (ttk.me t4bg1)"
609300253200658432,2015-06-12 10:04:35,"Yesterday: automatic reply webmentions sending.
Today: pingbacks too, e.g. First Federated #Indieweb Comments: http://t.co/sr3nd2SsfU"
609295860371861505,2015-06-12 09:47:07,@eschnou now automatically sending webmentions (or pingbacks if necessary) from replies; joining #indieweb federation! (ttk.me t4bd1)
609225184390713344,2015-06-12 05:06:17,"@kylewmahan re: http://t.co/NTfzLh5Avg
Let’s see how a reply three deep (reply to your reply to your reply) works. (ttk.me t4bc3)"
609195768545566720,2015-06-12 03:09:24,"@aaronpk re: http://t.co/Cj5IncE6vx
Looking forward to seeing what #indieweb #UI #UX iterations you sketch and build! (ttk.me t4bc2)"
609153784200228865,2015-06-12 00:22:34,"@benwerd indieweb tenets?
@loqisaur says http://t.co/dDph1lOtiV
In summary: 🗽✊🔍💪😋📓💞📐🌐🗿🎉🌈 (ttk.me t4bc1)"
608889136934576128,2015-06-11 06:50:57,"going to Homebrew Website Club 17:30 @MozSF 2015-06-17.
Indie event http://t.co/B8x1UN0BkR
silo http://t.co/k72RFXdfdF (ttk.me t4bb2)"
608844349187620865,2015-06-11 03:52:59,"Made it to track yesterday.
workout: 800 1600 800 1600 4x200
I did: 800 1200 800 1200 4x200

Previously: http://t.co/uQFDoNNVjI"
608157213488578560,2015-06-09 06:22:33,"I too am “of the web” per @adactio https://t.co/L3RJooInwy
Also the #indieweb because silos die, like @Branch: http://t.co/eIhXG0AuIy"
608143971206848512,2015-06-09 05:29:56,"@brianoberkirch 2y ago you posted @Branch, I replied on my site “where it will likely last longer”.

It did: http://t.co/hmG2F6NW4O"
606981065593397248,2015-06-06 00:28:57,"@deewu thanks for pointing out. Noted .so ccTLD issues:
https://t.co/GSTynXl7Vh
and cited your tweets. Hope that’s ok! (ttk.me t4bX1)"
606270033686196224,2015-06-04 01:23:34,"@BillSeitz @holden @WardCunningham IndieWeb approach:
1 reply from your own site
2 POSSE e.g. Twitter
3 ... http://t.co/jfQCXJIV4Q"
606265907233456130,2015-06-04 01:07:10,If I ever get a cat I'm naming it str. (ttk.me t4bV1)
605985906378444800,2015-06-03 06:34:33,"Awoke to a bad headache. Drank water til somewhat lucid. Track halfway over, ran to anyway:
did 1x(600,300)... http://t.co/a26XasExuZ"
605620586681745409,2015-06-02 06:22:54,@LynnMagic it would be great to have you @IndieWebCamp. (ttk.me t4bT4)
605618357665005568,2015-06-02 06:14:02,going to IndieWebCamp 2015-07-11…12 in Portland! You should too! Choose Portland or Brighton: https://t.co/wEi44hy2RI (ttk.me t4bT3)
605604965566906369,2015-06-02 05:20:50,@benwerd @erinjo also proud of you &amp; @withknown — so much #indieweb &amp; especially user empathy. Keep up the great work! (ttk.me t4bT2)
605599052848234498,2015-06-02 04:57:20,Congrats to fellow re-elected @W3CAB members @chaals @cwilso @mc2hampion and newcomer Judy Zhu! http://t.co/mEFJS38j2L (ttk.me t4bT1)
604723652249030656,2015-05-30 18:58:48,"Having had success with more openness, I’m running for the @W3CAB again.

Ask your @W3C AC Rep to vote by ... http://t.co/Zz9wBl3Oia"
604502683001618432,2015-05-30 04:20:45,going to #YxYY003! Looking forward to warm &amp; thoughtful chats with independent creatives. http://t.co/uBet7H4VW1 @yxyy (ttk.me t4bQ1)
604056813416263681,2015-05-28 22:49:01,"@phidip #NPSF is @Nov_Project_SF, SF chapter/tribe of http://t.co/4LsWdhzIii — a free workout group. Last ... http://t.co/o7gL9vDYxA"
603777907018760192,2015-05-28 04:20:45,"Actually I did set an #NPSF PR this morning!

33:20 = 35s faster than 33:55 last month!

Apparently I ... http://t.co/QmpIiEB9sN"
603774092446076928,2015-05-28 04:05:35,"#NPSF PR Wednesday this morning: 33:20, 25s slower.
Tried a 3/1min run/walk this time. Felt a lot smoother ... http://t.co/DWt45Yv37B"
